upload date,id,username,full name,likes,comments,raw title,raw description
2024-09-11 00:00:00,https://www.instagram.com/holliyu/p/C_yua0cCSI8/,holliyu,Holli,67,0,"Holli on Instagram: ""More Berlin content sorryyy but this time seeing seventeen again at lollapalooza!!! 🩷🩵

Take me back take me back take me baaaack, this was so much fun 😭

@saythename_17
@lollapaloozade""","67 likes, 0 comments - holliyu on September 11, 2024: ""More Berlin content sorryyy but this time seeing seventeen again at lollapalooza!!! 🩷🩵

Take me back take me back take me baaaack, this was so much fun 😭

@saythename_17
@lollapaloozade"". "
2024-12-08 00:00:00,https://www.instagram.com/holliyu/p/DDVZbafipoW/,holliyu,Holli,111,3,"Holli on Instagram: ""A short but sweet weekend trip to manchester! 😇

Happy 30 @philippabayford , love youuu 🩷🩷🩷""","111 likes, 3 comments - holliyu on December 8, 2024: ""A short but sweet weekend trip to manchester! 😇

Happy 30 @philippabayford , love youuu 🩷🩷🩷"". "
2024-11-06 00:00:00,https://www.instagram.com/holliyu/p/DCCffIDi4NX/,holliyu,Holli,82,4,"Holli on Instagram: ""hi i know it’s like basically Christmas now but here’s some fun pics from Anniina’s Halloween party last weekend 🎃

Last min costume creds to Elise & Sona for the chainsaw hehe""","82 likes, 4 comments - holliyu on November 6, 2024: ""hi i know it’s like basically Christmas now but here’s some fun pics from Anniina’s Halloween party last weekend 🎃

Last min costume creds to Elise & Sona for the chainsaw hehe"". "
2024-09-09 00:00:00,https://www.instagram.com/holliyu/p/C_th1z7CkgQ/,holliyu,Holli,77,1,"Holli on Instagram: ""48 hours of touring Berlin this weekend! 🌭""","77 likes, 1 comments - holliyu on September 9, 2024: ""48 hours of touring Berlin this weekend! 🌭"". "
2024-06-24 00:00:00,https://www.instagram.com/holliyu/p/C8m-3Cdi3kt/,holliyu,Holli,83,0,"Holli on Instagram: ""13 (!!) years since we last saw Taylor in concert together, and now again in Wembley singing our hearts out!! 🤗🤗🤗

Swifties, forever and alwayssss 💛☀️""","83 likes, 0 comments - holliyu on June 24, 2024: ""13 (!!) years since we last saw Taylor in concert together, and now again in Wembley singing our hearts out!! 🤗🤗🤗

Swifties, forever and alwayssss 💛☀️"". "
2024-07-28 00:00:00,https://www.instagram.com/holliyu/p/C9-8Y6sCTdx/,holliyu,Holli,85,4,"Holli on Instagram: ""A little sunny, flower-y walk today outside of London with @anniinahautamaki 🩵🪻🌼""","85 likes, 4 comments - holliyu on July 28, 2024: ""A little sunny, flower-y walk today outside of London with @anniinahautamaki 🩵🪻🌼"". "
2024-05-28 00:00:00,https://www.instagram.com/holliyu/p/C7h9TNlhGZ2/,holliyu,Holli,88,0,"Holli on Instagram: ""finally heard “say the naaame” in person & I want to do it all over again!! 

honestly best night everrr 😇😇😇

💎🩷🩵💎""","88 likes, 0 comments - holliyu on May 28, 2024: ""finally heard “say the naaame” in person & I want to do it all over again!! 

honestly best night everrr 😇😇😇

💎🩷🩵💎"". "
2024-06-01 00:00:00,https://www.instagram.com/holliyu/p/C7s5MLuBVcu/,holliyu,Holli,90,2,"Holli on Instagram: ""Birthday girl in 日本 !! 🩵🤍""","90 likes, 2 comments - holliyu on June 1, 2024: ""Birthday girl in 日本 !! 🩵🤍"". "
2024-03-25 00:00:00,https://www.instagram.com/holliyu/p/C48BYJpC9EW/,holliyu,Holli,88,1,"Holli on Instagram: ""👧🏻+👧🏻 together in London for the weekend ! 🐣
•
•
•
yes i put too much milk in my tea it was a sad time""","88 likes, 1 comments - holliyu on March 25, 2024: ""👧🏻+👧🏻 together in London for the weekend ! 🐣
•
•
•
yes i put too much milk in my tea it was a sad time"". "
2024-02-26 00:00:00,https://www.instagram.com/holliyu/p/C30lfRIiQy_/,holliyu,Holli,55,2,"Holli on Instagram: ""boba babes regular catch up - a cute, girly edition! 🥰☁️🍬🌸""","55 likes, 2 comments - holliyu on February 26, 2024: ""boba babes regular catch up - a cute, girly edition! 🥰☁️🍬🌸"". "
2024-03-02 00:00:00,https://www.instagram.com/char.parr/reel/C4A481-K0m45ybv-A8OGImg6m5luETcSmZr9no0/,char.parr,char,<<could not collect>>,<<could not collect>>,"char on Instagram: ""나쁜 년, 아주 그냥 나쁜 년😈
Choreo by @fibonacci_young 
Dancers @holliyu @_y.tting @char.parr 
THANK YOU Fi for teaching us your 🔥 choreo to one of my fave songs. Nothing makes me happier than dancing with you all 🖤""","char.parr on March 2, 2024: ""나쁜 년, 아주 그냥 나쁜 년😈
Choreo by @fibonacci_young 
Dancers @holliyu @_y.tting @char.parr 
THANK YOU Fi for teaching us your 🔥 choreo to one of my fave songs. Nothing makes me happier than dancing with you all 🖤"". "
2023-12-28 00:00:00,https://www.instagram.com/holliyu/p/C1ZyuxmiYIk/,holliyu,Holli,45,5,"Holli on Instagram: ""a little winter sun 🌻 + other little bits of winter-y fun 💭🐈‍⬛❄️""","45 likes, 5 comments - holliyu on December 28, 2023: ""a little winter sun 🌻 + other little bits of winter-y fun 💭🐈‍⬛❄️"". "
2023-07-31 00:00:00,https://www.instagram.com/holliyu/p/CvXyKnkMBFf/,holliyu,Holli,69,10,"Holli on Instagram: ""jun + july in a few snaps 📸🐾""","69 likes, 10 comments - holliyu on July 31, 2023: ""jun + july in a few snaps 📸🐾"". "
2023-11-21 00:00:00,https://www.instagram.com/holliyu/p/Cz7cIZCCM6G/,holliyu,Holli,94,2,"Holli on Instagram: ""missed u hk, soo good to be back after so long awayyy 🫧""","94 likes, 2 comments - holliyu on November 21, 2023: ""missed u hk, soo good to be back after so long awayyy 🫧"". "
2023-07-02 00:00:00,https://www.instagram.com/holliyu/p/CuNfOREMWEC/,holliyu,Holli,72,0,"Holli on Instagram: ""a little sparkly moment from the weekend ✨🫶""","72 likes, 0 comments - holliyu on July 2, 2023: ""a little sparkly moment from the weekend ✨🫶"". "
2023-06-01 00:00:00,https://www.instagram.com/holliyu/p/Cs-AqZgIh3m/,holliyu,Holli,107,8,"Holli on Instagram: ""pinch punch first of the month 🥰🎂
.
01.06.23, let the birthday celebrations begin 🫧""","107 likes, 8 comments - holliyu on June 1, 2023: ""pinch punch first of the month 🥰🎂
.
01.06.23, let the birthday celebrations begin 🫧"". "
2023-08-27 00:00:00,https://www.instagram.com/holliyu/p/CwdBhj9MqwT/,holliyu,Holli,118,7,"Holli on Instagram: ""switched it up & headed back to the 90s for the night ! 😎

such a fun night at the @atyourbeatstudio  summer party!!""","118 likes, 7 comments - holliyu on August 27, 2023: ""switched it up & headed back to the 90s for the night ! 😎

such a fun night at the @atyourbeatstudio  summer party!!"". "
2023-03-20 00:00:00,https://www.instagram.com/holliyu/p/CqBKB6Uj7zH/,holliyu,Holli,70,2,"Holli on Instagram: ""brooklyn bridge ft. $12 target sunglasses""","70 likes, 2 comments - holliyu on March 20, 2023: ""brooklyn bridge ft. $12 target sunglasses"". "
2023-05-01 00:00:00,https://www.instagram.com/holliyu/p/CrtfXQTMPmW/,holliyu,Holli,75,1,"Holli on Instagram: ""peace out to bank hol weekend 1/3 🥳✌🏼🍊

📸 creds: @jocoughlan my tourist partner in crime""","75 likes, 1 comments - holliyu on May 1, 2023: ""peace out to bank hol weekend 1/3 🥳✌🏼🍊

📸 creds: @jocoughlan my tourist partner in crime"". "
2023-03-13 00:00:00,https://www.instagram.com/holliyu/p/Cpv62e8Me_Z/,holliyu,Holli,103,4,"Holli on Instagram: ""Hol & Anniina in Manhattan: the foodie edition ! (honestly the best week of food)🥰🍕""","103 likes, 4 comments - holliyu on March 13, 2023: ""Hol & Anniina in Manhattan: the foodie edition ! (honestly the best week of food)🥰🍕"". "
2023-03-13 00:00:00,https://www.instagram.com/holliyu/p/Cpv6earsYOC/,holliyu,Holli,78,4,"Holli on Instagram: ""Hol & Anniina in Manhattan: the tourist edition ! 🥰📸""","78 likes, 4 comments - holliyu on March 13, 2023: ""Hol & Anniina in Manhattan: the tourist edition ! 🥰📸"". "
2023-02-22 00:00:00,https://www.instagram.com/holliyu/p/Co9bcWDjCrE/,holliyu,Holli,85,7,"Holli on Instagram: ""a cute coffee & brunch from a couple of weeks ago with @anniinahautamaki 🥰☕️☁️""","85 likes, 7 comments - holliyu on February 22, 2023: ""a cute coffee & brunch from a couple of weeks ago with @anniinahautamaki 🥰☕️☁️"". "
2023-02-10 00:00:00,https://www.instagram.com/holliyu/p/CoeuEdKjh8W/,holliyu,Holli,139,14,"Holli on Instagram: ""The best time last weekend celebrating the cutest @pammie_y - love u, hope you’ve had the best birthday week 💕💎

Style & hair courtesy of @elise_dominie (thank u for your patience with the ponytail) 😂🥰""","139 likes, 14 comments - holliyu on February 10, 2023: ""The best time last weekend celebrating the cutest @pammie_y - love u, hope you’ve had the best birthday week 💕💎

Style & hair courtesy of @elise_dominie (thank u for your patience with the ponytail) 😂🥰"". "
2023-01-15 00:00:00,https://www.instagram.com/holliyu/p/CndH7sPDmfG/,holliyu,Holli,85,2,"Holli on Instagram: ""A wholesome weekend going from the present, to the ‘20s and allll the way back to the Jurassic age 🦕 want to do it all over againnn""","85 likes, 2 comments - holliyu on January 15, 2023: ""A wholesome weekend going from the present, to the ‘20s and allll the way back to the Jurassic age 🦕 want to do it all over againnn"". "
