,account,profile_name,date_joined,account_country,verified_date,num_followers,num_following,num_posts,bio,meta_description,timestamp
0,siobhanhaughey01,SIOBHÁN HAUGHEY (何詩蓓),November 2012,Hong Kong,July 2020,357000,536,375,🇭🇰•🇮🇪 World Record Holder  World Champion 🏊🏼‍♀️,"357K Followers, 536 Following, 375 Posts - SIOBHÁN HAUGHEY (何詩蓓) (@siobhanhaughey01) on Instagram: ""🇭🇰•🇮🇪
World Record Holder 
World Champion 🏊🏼‍♀️""",2025-01-29 15:57:14
1,yalocaloffgod,drew/offgod,October 2017,Not shared,,494000,3514,257,20 @offgod.tate  @skullsrulemyhead,"494K Followers, 3,514 Following, 257 Posts - drew/offgod (@yalocaloffgod) on Instagram: ""20 @offgod.tate 
@skullsrulemyhead""",2025-01-29 15:57:25
2,catharina.cheung,catharina c,October 2016,,,441,890,51,i write things and order too much food selling my words at @timeouthk,"441 Followers, 890 Following, 51 Posts - catharina c (@catharina.cheung) on Instagram: ""i write things and order too much food
selling my words at @timeouthk""",2025-01-29 15:57:43
3,oldhkincolour,Old HK in Colour,November 2019,Hong Kong,,184000,3365,913,Colourising and animating old Hong Kong photos for public education in history: Using AI and post-editing methods｜透過人工智能及後製技術，為香港舊照添上色彩和動態效果，用於公眾歷史教育,"184K Followers, 3,365 Following, 913 Posts - Old HK in Colour (@oldhkincolour) on Instagram: ""Colourising and animating old Hong Kong photos for public education in history: Using AI and post-editing methods｜透過人工智能及後製技術，為香港舊照添上色彩和動態效果，用於公眾歷史教育""",2025-01-29 15:57:55
4,timeoutsg,Time Out Singapore,August 2011,Singapore,May 2016,139000,216,6254,"Your guide to the best things to do, eat, drink and explore in Singapore.  Tag us @timeoutsg and #timeoutsg for a chance to be featured.","139K Followers, 216 Following, 6,254 Posts - Time Out Singapore (@timeoutsg) on Instagram: ""Your guide to the best things to do, eat, drink and explore in Singapore. 
Tag us @timeoutsg and #timeoutsg for a chance to be featured.""",2025-01-29 15:58:03
5,sirjoancornella,Joan Cornellà,January 2014,Hong Kong,March 2020,3000000,1238,1234,No Bio,"3M Followers, 1,238 Following, 1,234 Posts - Joan Cornellà (@sirjoancornella) on Instagram: """"",2025-01-29 15:58:11
6,kenken.lch,KenKen 🇭🇰🇹🇼,July 2013,Hong Kong,,25000,2897,367,Founder of @voguinghk   CHOREOGRAPHER 丨CONTENT CREATOR,"25K Followers, 2,897 Following, 367 Posts - KenKen 🇭🇰🇹🇼 (@kenken.lch) on Instagram: ""Founder of @voguinghk  
CHOREOGRAPHER 丨CONTENT CREATOR""",2025-01-29 15:58:22
7,arr.allrightsreserved,AllRightsReserved,December 2017,Not shared,December 2019,139000,7,1443,Bonding of the partners & marking of a submissive #ARR #AllRightsReserved @DDTStore -,"139K Followers, 7 Following, 1,443 Posts - AllRightsReserved (@arr.allrightsreserved) on Instagram: ""Bonding of the partners & marking of a submissive
#ARR #AllRightsReserved @DDTStore
-""",2025-01-29 15:58:41
8,timmy727,Timmy Lo｜ Hong Kong,November 2010,Hong Kong,,175000,1073,3805,ティミー  ✉️ timmy_727@hotmail.com 🐕 @mame.yochi,"175K Followers, 1,073 Following, 3,805 Posts - Timmy Lo｜ Hong Kong (@timmy727) on Instagram: ""ティミー 
✉️ timmy_727@hotmail.com
🐕 @mame.yochi""",2025-01-29 15:58:53
9,woawgallery,WOAW Gallery,March 2019,Hong Kong,,33000,1372,1115,HK🇭🇰 Opening 10/1 “Muggsy” solo exhibition by @gilespates,"33K Followers, 1,372 Following, 1,115 Posts - WOAW Gallery (@woawgallery) on Instagram: ""HK🇭🇰
Opening 10/1 “Muggsy” solo exhibition by @gilespates""",2025-01-29 15:59:07
10,holyeatshk,Holy Eats 好易食,July 2018,Hong Kong,,2933,242,536,"✟ binge worthy grub & the best drink deals in town ✟ 🥢🥘🥡🍸🍻 🥡mon-fri: 12pm-3pm, 4pm-1am 🌮sat: 4pm-1am 🍺happy hour: 4pm-8pm 🚫sundays","2,933 Followers, 242 Following, 536 Posts - Holy Eats 好易食 (@holyeatshk) on Instagram: ""✟ binge worthy grub & the best drink deals in town ✟
🥢🥘🥡🍸🍻
🥡mon-fri: 12pm-3pm, 4pm-1am
🌮sat: 4pm-1am
🍺happy hour: 4pm-8pm
🚫sundays""",2025-01-29 15:59:19
11,gluestickent,gluestick 〰️,July 2017,Hong Kong,,4012,625,371,"Past shows: JID, AOMG, ASAP Ferg, Denzel Curry, Mac Ayres, Sunset Rollercoaster, Phum Viphurit, Tobi Lou, ØZI, Moonchild, Imase+ 🇸🇬: @gluesticksg","4,012 Followers, 625 Following, 371 Posts - gluestick 〰️ (@gluestickent) on Instagram: ""Past shows: JID, AOMG, ASAP Ferg, Denzel Curry, Mac Ayres, Sunset Rollercoaster, Phum Viphurit, Tobi Lou, ØZI, Moonchild, Imase+
🇸🇬: @gluesticksg""",2025-01-29 15:59:32
12,cathaypacific,Cathay Pacific,November 2012,Hong Kong,May 2016,789000,14,1848,"Where will your next journey take you?✈️ #cathaypacific to be featured 📸. For flight and other inquiries, please contact us via WhatsApp and Facebook.","789K Followers, 14 Following, 1,848 Posts - Cathay Pacific (@cathaypacific) on Instagram: ""Where will your next journey take you?✈️
#cathaypacific to be featured 📸.
For flight and other inquiries, please contact us via WhatsApp and Facebook.""",2025-01-29 15:59:39
13,littlethunder,Little Thunder 門小雷,March 2012,Hong Kong,June 2022,1000000,1376,1423,Limited Edition Art Books: 📓LITTLE THUNDER’S PRIVATE PLAYGROUND 📕THUNDER ‘N’ SEA shop here👇,"1M Followers, 1,376 Following, 1,423 Posts - Little Thunder 門小雷 (@littlethunder) on Instagram: ""Limited Edition Art Books:
📓LITTLE THUNDER’S PRIVATE PLAYGROUND
📕THUNDER ‘N’ SEA
shop here👇""",2025-01-29 15:59:47
14,lielaine,elaine li 🎈,December 2011,Nepal,September 2016,241000,349,2131,🪄 photographer + ad creative director 📍 based in hong kong 🇭🇰 📩 DM or email lielaine.yl@gmail.com,"241K Followers, 349 Following, 2,131 Posts - elaine li 🎈 (@lielaine) on Instagram: ""🪄 photographer + ad creative director
📍 based in hong kong 🇭🇰
📩 DM or email lielaine.yl@gmail.com""",2025-01-29 15:59:55
